FirstName Surname TotalWinnings Tournaments AveStrokes Driving GIR Putting Birdie SandSaves Scrambling PPR
Francesco MOLINARI 4635909 28 69.3100 68.1000 71.2000 1.775 4.160 26.9000 62.1000 29.4300
Patrick REED 3057948 26 69.8700 54.4000 66.3000 1.738 3.970 40.0000 58.2000 28.5400
Tommy FLEETWOOD 2805043 50 69.4800 65.5000 74.1000 1.779 4.380 39.8000 57.1000 29.8800
Rory MCILROY 2760667 30 69.1800 52.9000 67.8000 1.724 4.410 42.9000 66.1000 28.3000
Alex NOREN 2729725 28 70.2500 62.8000 66.7000 1.764 3.630 56.4000 58.9000 29.2100
Thorbjorn OLESEN 2485020 65 69.7200 53.7000 68.7000 1.737 4.480 54.6000 64.2000 28.5700
Jon RAHM 2161574 30 69.5000 62.5000 73.1000 1.761 4.440 30.4000 60.0000 29.4300
Russell KNOX 2054929 24 69.9200 65.5000 69.9000 1.765 3.730 52.1000 56.9000 29.5400
Tyrrell HATTON 1892819 44 69.6400 60.6000 69.8000 1.734 4.050 44.1000 59.8000 28.9100
Eddie PEPPERELL 1794185 63 69.9200 61.4000 69.0000 1.744 4.170 47.8000 61.4000 28.7000
Rafa CABRERA-BELLO 1775523 48 69.8700 60.7000 67.1000 1.747 3.830 47.3000 65.5000 28.5400
Ryan FOX 1685154 71 70.0000 54.4000 73.9000 1.769 4.100 50.0000 53.0000 30.2400
Kiradech APHIBARNRAT 1624451 56 70.3100 64.8000 69.1000 1.784 3.740 49.5000 62.1000 29.3900
Matthew FITZPATRICK 1582845 57 69.7700 66.8000 71.0000 1.781 4.160 50.0000 57.0000 29.6700
Brandon STONE 1582334 62 71.4400 51.1000 68.2000 1.794 3.600 51.0000 52.4000 29.7100
Justin ROSE 1579266 28 69.4100 66.6000 72.2000 1.780 4.130 47.6000 53.6000 29.8900
Jorge CAMPILLO 1570307 77 69.8700 62.6000 71.8000 1.750 4.330 44.9000 53.4000 29.4800
Matt WALLACE 1474034 82 70.3600 58.6000 67.4000 1.751 4.110 49.5000 60.7000 28.8000
Xander SCHAUFFELE 1392488 20 71.0400 61.7000 62.8000 1.813 3.170 28.0000 56.0000 29.8500
Alexander BJORK 1365954 70 70.1600 59.8000 69.0000 1.749 3.900 46.4000 61.0000 28.8000
Chris WOOD 1344728 61 70.4800 56.9000 69.1000 1.729 4.080 41.1000 55.5000 28.9200
Haotong LI 1294570 65 70.3800 58.9000 68.5000 1.760 4.380 33.9000 52.4000 29.1500
Shubhankar SHARMA 1232610 62 70.4400 65.3000 66.2000 1.765 3.830 42.4000 58.4000 29.0300
Thomas PIETERS 1157473 60 70.2200 50.4000 67.9000 1.739 4.230 49.5000 58.8000 28.7700
Lucas BJERREGAARD 1127174 71 70.0400 57.5000 74.6000 1.756 4.520 53.4000 52.3000 29.9300
Alexander LEVY 1084833 64 70.5300 58.3000 69.8000 1.768 4.110 43.3000 55.8000 29.4800
Cameron SMITH 1070652 22 70.0800 55.1000 63.4000 1.756 3.920 43.1000 66.2000 27.8200
Ian POULTER 1061729 38 70.1000 67.4000 69.9000 1.736 4.130 41.8000 55.3000 29.1100
Julian SURI 1042739 38 70.6700 61.1000 70.6000 1.814 3.570 50.8000 57.7000 30.1600
Adrian OTAEGUI 1019374 75 70.0700 68.3000 72.3000 1.793 3.960 52.7000 65.5000 29.6800
Henrik STENSON 1013402 26 70.0000 69.7000 71.4000 1.779 3.770 47.7000 57.5000 29.8500
Andy SULLIVAN 1010301 76 69.6200 62.9000 71.1000 1.728 4.620 46.2000 57.3000 28.8700
Dylan FRITTELLI 967772 58 69.9500 55.0000 71.5000 1.771 4.220 47.8000 57.7000 29.5000
Erik VANROOYEN 944239 63 69.8000 55.0000 74.1000 1.780 4.280 44.9000 54.8000 29.8900
Paul CASEY 918485 30 70.5600 59.1000 67.2000 1.770 3.650 46.8000 59.3000 28.9300
Branden GRACE 911957 40 70.1600 52.6000 67.8000 1.759 3.710 46.3000 59.1000 29.1300
Ross FISHER 857469 50 70.6400 65.3000 72.3000 1.820 3.780 37.7000 49.0000 30.8000
Louis OOSTHUIZEN 825040 26 70.3100 60.7000 68.2000 1.794 3.770 52.2000 63.1000 29.4200
Sergio GARCIA 798638 37 70.4500 62.9000 69.2000 1.734 4.170 54.2000 52.7000 29.3000
Andrea PAVAN 753709 83 70.0800 57.8000 74.0000 1.751 4.080 48.3000 57.1000 29.6100
Wade ORMSBY 741226 68 71.0500 68.9000 67.4000 1.782 3.580 46.6000 57.6000 29.4100
Ashun WU 724537 84 70.6400 62.5000 65.8000 1.759 3.600 50.5000 64.2000 28.6400
Lee WESTWOOD 719422 44 69.7300 59.2000 73.6000 1.772 4.150 55.2000 60.8000 29.6800
Mike LORENZO-VERA 711853 65 70.1300 57.3000 67.2000 1.705 4.440 49.6000 59.1000 28.5500
Marcus KINHULT 707308 70 70.7400 60.8000 69.7000 1.758 4.110 52.1000 52.9000 29.6000
Mikko KORHONEN 701728 66 70.3500 61.8000 69.0000 1.750 3.970 43.2000 61.4000 29.1100
Matt KUCHAR 677613 25 70.9600 60.8000 68.5000 1.807 3.150 41.0000 55.6000 29.8000
Thomas DETRY 674301 86 70.0400 59.3000 71.7000 1.760 4.100 46.1000 58.5000 29.4500
Paul DUNNE 632652 57 70.5500 42.6000 65.1000 1.740 3.840 50.5000 58.1000 28.6100
Hideto TANIHARA 632524 71 70.4600 59.8000 68.0000 1.756 3.810 44.4000 61.4000 28.9000
Lee SLATTERY 616837 68 71.2800 58.4000 68.7000 1.792 3.550 49.5000 54.3000 29.9400
Matthew SOUTHGATE 608815 65 70.2900 60.8000 73.6000 1.770 4.080 40.8000 53.4000 30.0000
Joakim LAGERGREN 604618 65 70.6500 55.0000 69.4000 1.788 3.970 58.0000 53.9000 29.9100
Jens DANTORP 571615 77 71.5700 63.1000 69.0000 1.811 3.490 39.1000 51.9000 30.2100
Jordan SMITH 569477 72 70.5400 66.1000 73.2000 1.790 3.960 36.5000 54.9000 30.2500
Benjamin HEBERT 569388 70 70.1800 63.5000 72.0000 1.764 4.090 36.8000 54.1000 29.9300
Dean BURMESTER 568043 68 70.6800 50.6000 67.5000 1.774 4.080 48.1000 56.8000 29.4900
Danny WILLETT 566578 48 71.0600 54.0000 65.9000 1.796 3.670 52.1000 57.6000 29.4600
Joost LUITEN 556383 34 70.1800 68.4000 74.7000 1.765 4.120 36.4000 60.0000 29.5900
Chris PAISLEY 551915 44 69.8800 57.2000 69.3000 1.737 4.200 61.0000 64.2000 28.7000
Nacho ELVIRA 539771 77 70.6800 56.6000 70.4000 1.767 4.010 54.3000 54.6000 29.6900
Tom LEWIS 538928 46 70.6700 55.5000 68.4000 1.774 3.930 58.0000 58.8000 29.2800
Richard MCEVOY 536035 53 71.0200 68.8000 68.0000 1.786 3.440 46.4000 57.0000 29.5500
Lucas HERBERT 528996 50 70.6100 58.0000 69.0000 1.747 4.290 49.3000 52.3000 29.3400
Shane LOWRY 528855 25 70.3800 65.9000 73.6000 1.779 4.130 39.3000 51.3000 30.3200
Sam HORSFIELD 517173 72 70.8000 54.9000 68.0000 1.778 4.060 53.8000 54.9000 29.5300
Oliver FISHER 503893 71 71.0600 53.5000 66.6000 1.754 3.880 49.1000 55.3000 29.1100
George COETZEE 503710 59 69.9800 48.3000 66.2000 1.714 4.340 59.8000 60.2000 28.3100
Martin KAYMER 490388 47 70.8300 61.1000 71.4000 1.803 3.780 46.6000 50.4000 30.4000
Aaron RAI 490022 82 70.8000 71.9000 73.4000 1.827 3.460 44.2000 58.0000 30.5100
Graeme MCDOWELL 476900 29 70.4200 60.5000 66.5000 1.770 4.040 52.5000 60.0000 29.1400
Pablo LARRAZABAL 476419 56 70.5200 59.2000 71.1000 1.761 4.210 46.3000 51.2000 29.7100
Andrew JOHNSTON 476324 53 70.3600 63.3000 71.3000 1.797 3.740 52.5000 61.0000 29.7400
Paul WARING 461006 58 71.1000 55.5000 69.5000 1.798 3.530 43.8000 54.4000 30.0200
Pat PEREZ 457162 23 71.1400 58.4000 63.0000 1.766 3.320 56.6000 53.6000 28.9600
Richard STERNE 440620 73 70.2100 61.1000 72.7000 1.769 4.070 47.6000 53.2000 29.9500
Darren FICHARDT 439646 61 70.8800 60.2000 67.2000 1.785 3.950 42.2000 57.5000 29.0500
Matthieu PAVON 439597 77 71.0300 58.9000 69.1000 1.788 3.810 38.1000 54.4000 29.7400
Trevor IMMELMAN 433797 30 71.1500 49.3000 69.3000 1.796 3.650 40.4000 51.2000 30.0700
Soren KJELDSEN 419542 77 70.4100 64.5000 69.8000 1.755 3.810 49.1000 59.7000 29.1600
Gavin GREEN 417689 78 71.4100 50.6000 65.2000 1.750 3.760 52.9000 54.2000 29.0900
Robert ROCK 417670 64 70.2500 57.5000 69.7000 1.777 3.870 55.4000 60.2000 29.3800
Scott HEND 408822 67 71.3400 48.7000 68.1000 1.776 4.000 48.4000 51.7000 29.8100
Jeunghun WANG 408438 72 70.9000 65.1000 68.1000 1.801 3.780 58.6000 62.2000 29.4300
Thomas AIKEN 408209 72 70.9400 56.1000 66.1000 1.780 3.800 50.0000 56.7000 29.3300
Charl SCHWARTZEL 406081 32 70.4700 51.4000 64.4000 1.749 3.940 39.3000 59.5000 28.5000
Renato PARATORE 405826 66 71.4000 50.8000 63.1000 1.749 4.060 51.6000 55.9000 28.7300
Ashley CHESTERS 402179 90 70.8300 73.2000 72.2000 1.813 3.360 42.3000 57.8000 30.3000
Maximilian KIEFFER 400502 73 70.5300 70.5000 71.1000 1.803 3.870 60.7000 61.1000 29.8800
Stephen GALLACHER 398347 74 70.7100 58.5000 70.1000 1.778 3.940 43.5000 55.8000 29.5700
Alvaro QUIROS 391958 47 72.0000 48.8000 66.4000 1.769 3.800 45.2000 50.7000 29.6000
Jacques KRUYSWIJK 391933 79 70.6700 60.1000 68.3000 1.771 3.930 34.9000 52.8000 29.6600
Julien GUERRIER 387780 77 70.6200 56.0000 67.7000 1.765 4.010 44.3000 55.1000 29.3500
Nino BERTASIO 385267 84 70.8600 54.6000 64.8000 1.732 4.140 53.8000 56.5000 28.4600
Yusaku MIYAZATO 373766 44 72.1900 54.4000 61.6000 1.789 3.540 48.8000 56.3000 29.2500
Matthias SCHWAB 373318 73 70.5500 61.9000 73.3000 1.824 3.480 48.8000 62.7000 30.1500
David LIPSKY 361271 72 70.9600 55.6000 65.7000 1.776 3.860 44.8000 59.8000 29.0600
Mikko ILONEN 360708 49 71.2900 61.2000 66.4000 1.761 3.670 43.3000 57.4000 29.1600
Jason SCRIVENER 343915 81 70.8300 63.9000 70.8000 1.777 3.730 52.4000 57.5000 29.7200
Nicolas COLSAERTS 342715 68 70.8000 52.0000 73.4000 1.790 3.800 46.9000 48.8000 30.5900
